side,c_min,filt,k,tgt,ex,n,winrate,avg,total,max_loss,pf,avg_h1,avg_h2
short,100,無,140,50,12:30,101,0.752,-10.96,-1107.0,-642.0,0.77,-19.6,1.2
short,100,無,140,50,13:00,101,0.792,-7.47,-754.0,-627.0,0.84,-17.0,5.9
short,100,無,140,50,13:10,101,0.792,-10.6,-1071.0,-645.0,0.78,-20.5,3.4
short,100,無,140,50,13:20,101,0.792,-7.52,-760.0,-613.0,0.83,-15.2,3.2
short,100,無,140,50,13:30,101,0.792,-7.28,-735.0,-619.0,0.84,-16.5,5.7
short,100,無,140,50,13:44,101,0.802,-4.14,-418.0,-618.0,0.9,-16.8,13.7
short,100,無,140,75,12:00,101,0.663,-2.97,-300.0,-604.0,0.94,-11.3,8.8
short,100,無,140,75,12:30,101,0.683,-4.84,-489.0,-642.0,0.91,-14.1,8.2
short,100,無,140,75,13:00,101,0.703,-4.64,-469.0,-627.0,0.92,-12.9,7.0
short,100,無,140,75,13:10,101,0.713,-7.57,-765.0,-645.0,0.87,-15.9,4.1
short,100,無,140,75,13:20,101,0.723,-3.43,-346.0,-613.0,0.94,-11.8,8.4
short,100,無,140,75,13:30,101,0.723,-2.93,-296.0,-619.0,0.95,-13.1,11.4
short,100,無,140,75,13:44,101,0.723,-0.37,-37.0,-618.0,0.99,-14.5,19.5
short,100,無,140,100,12:00,101,0.644,8.57,866.0,-604.0,1.16,-0.7,21.7
short,100,無,140,100,12:30,101,0.673,8.88,897.0,-642.0,1.16,-0.6,22.3
short,100,無,140,100,13:00,101,0.693,7.97,805.0,-627.0,1.14,1.2,17.4
