str_min,agree,m,tgt,ex,B,n,n_loss,n_loss100,winrate,avg,total,max_loss,pf,be
0.0,True,10,150,13:30,0,69,25,20,0.638,0.39,27.0,-1457.0,1.0,0.0
0.0,True,10,150,13:30,50,69,47,14,0.319,-21.01,-1450.0,-1457.0,0.69,0.478
0.0,True,10,150,13:30,80,69,42,19,0.391,-26.43,-1824.0,-1457.0,0.68,0.319
0.0,True,10,150,13:30,120,69,27,19,0.609,2.46,170.0,-1457.0,1.03,0.072
0.0,True,10,150,13:44,0,69,24,20,0.652,-2.17,-150.0,-1507.0,0.98,0.0
0.0,True,10,150,13:44,50,69,47,14,0.319,-24.38,-1682.0,-1507.0,0.66,0.478
0.0,True,10,150,13:44,80,69,42,19,0.391,-30.23,-2086.0,-1507.0,0.65,0.319
0.0,True,10,150,13:44,120,69,27,19,0.609,-1.78,-123.0,-1507.0,0.98,0.072
0.0,True,10,200,13:20,0,69,26,21,0.623,8.71,601.0,-1672.0,1.09,0.0
0.0,True,10,200,13:20,50,69,48,13,0.304,-14.14,-976.0,-1672.0,0.79,0.493
0.0,True,10,200,13:20,80,69,45,18,0.348,-20.23,-1396.0,-1672.0,0.75,0.377
0.0,True,10,200,13:20,120,69,32,19,0.536,7.62,526.0,-1672.0,1.09,0.159
0.0,True,10,200,13:30,0,69,29,21,0.58,3.35,231.0,-1457.0,1.04,0.0
0.0,True,10,200,13:30,50,69,49,14,0.29,-16.09,-1110.0,-1457.0,0.76,0.507
0.0,True,10,200,13:30,80,69,46,19,0.333,-23.68,-1634.0,-1457.0,0.72,0.377
0.0,True,10,200,13:30,120,69,35,19,0.493,2.88,199.0,-1457.0,1.03,0.188
0.0,True,10,200,13:44,0,69,29,22,0.58,-0.86,-59.0,-1507.0,0.99,0.0
0.0,True,10,200,13:44,50,69,51,14,0.261,-20.75,-1432.0,-1507.0,0.71,0.536
0.0,True,10,200,13:44,80,69,48,19,0.304,-28.78,-1986.0,-1507.0,0.67,0.406
0.0,True,10,200,13:44,120,69,37,19,0.464,-3.22,-222.0,-1507.0,0.96,0.217
0.0,True,10,250,13:20,0,69,28,22,0.594,13.67,943.0,-1672.0,1.14,0.0
0.0,True,10,250,13:20,50,69,50,13,0.275,-12.3,-849.0,-1672.0,0.82,0.522
0.0,True,10,250,13:20,80,69,48,18,0.304,-19.84,-1369.0,-1672.0,0.76,0.42
0.0,True,10,250,13:20,120,69,38,19,0.449,2.94,203.0,-1672.0,1.04,0.246
0.0,True,10,250,13:30,0,69,31,22,0.551,6.38,440.0,-1457.0,1.06,0.0
0.0,True,10,250,13:30,50,69,51,14,0.261,-15.83,-1092.0,-1457.0,0.77,0.536
0.0,True,10,250,13:30,80,69,49,19,0.29,-24.87,-1716.0,-1457.0,0.7,0.42
0.0,True,10,250,13:30,120,69,41,19,0.406,-3.38,-233.0,-1457.0,0.96,0.275
0.0,True,10,250,13:44,0,69,30,23,0.565,2.17,150.0,-1507.0,1.02,0.0
0.0,True,10,250,13:44,50,69,54,14,0.217,-21.59,-1490.0,-1507.0,0.7,0.58
0.0,True,10,250,13:44,80,69,52,19,0.246,-31.07,-2144.0,-1507.0,0.65,0.464
0.0,True,10,250,13:44,120,69,44,19,0.362,-9.86,-680.0,-1507.0,0.89,0.319
0.0,True,10,300,13:20,0,69,30,23,0.565,2.64,182.0,-1672.0,1.03,0.0
0.0,True,10,300,13:20,50,69,53,13,0.232,-20.99,-1448.0,-1672.0,0.69,0.565
0.0,True,10,300,13:20,80,69,51,18,0.261,-29.54,-2038.0,-1672.0,0.64,0.464
0.0,True,10,300,13:20,120,69,43,19,0.377,-12.88,-889.0,-1672.0,0.85,0.319
0.0,True,10,300,13:30,0,69,34,23,0.507,-3.25,-224.0,-1457.0,0.97,0.0
0.0,True,10,300,13:30,50,69,54,14,0.217,-24.75,-1708.0,-1457.0,0.63,0.58
0.0,True,10,300,13:30,80,69,52,19,0.246,-32.35,-2232.0,-1457.0,0.61,0.464
